site_date_key,Mangrove,Manmade,Saltmarsh,edge_man,edge_mar,edge_l.mangrove,edge_l.marsh,land_water_ratio,mud,fetch_distance,site_type
03d1161c,0.23383829921777002,0.0,0.13631774022830323,0.23383829921777002,0.13631774022830323,0.6317289853427803,0.36827101465721973,0.4637131100783054,45406.68705888919,24.366813591351264,mixed
0505ed01,0.03704804527268631,0.0,0.2912166311018625,0.03704804527268631,0.2912166311018625,0.11286028604069061,0.8871397139593095,0.4564023562640493,49827.96395026245,29.4970967883078,marsh
1179b291,0.03560577592552761,0.0,0.11991406339107474,0.03560577592552761,0.11991406339107474,0.22894684100748397,0.771053158992516,0.2995898460747643,39672.3839401593,15.511366915196096,marsh
121b1ba9,0.23577267687910658,0.0,0.004475432373133099,0.23577267687910658,0.004475432373133099,0.9813716229148997,0.018628377085100314,0.48272111554338526,21586.622828187574,0.35851983153791184,mangrove
1276dccd,0.0261678973026357,0.0036048892790277553,0.19666363560705458,0.0261678973026357,0.19666363560705458,0.11743354704309776,0.8825664529569023,0.6316878049384108,21428.129748038606,0.0,marsh
1ee4bcab,0.33712663423911454,0.0,0.04504548397972835,0.33712663423911454,0.04504548397972835,0.8821329923552037,0.1178670076447963,0.4305972325083828,28060.33032822263,19.509551165690027,mangrove
1fb154c1,0.14616324823258642,0.0,0.28007336232410285,0.14616324823258642,0.28007336232410285,0.34291575292344995,0.65708424707655,0.5021758578402737,42468.59712238455,33.33018370274069,mixed
2910dc8f,0.12867723300864117,0.019167558369022918,0.1289814229623129,0.12867723300864117,0.1289814229623129,0.49940970360082526,0.5005902963991748,0.30623185550246435,55798.55639381545,42.982515495412066,mixed
2ce5c7ea,0.16296316865148774,0.0,0.07318076500370699,0.16296316865148774,0.07318076500370699,0.6901010164819148,0.30989898351808515,0.684627481826852,29962.322206986057,224.2003086800679,mixed
2e2b516a,0.2985580164216616,0.0,0.008173514683881163,0.2985580164216616,0.008173514683881163,0.9733528709799686,0.02664712902003137,0.583487561136914,26563.118837358634,1.965575555686973,mangrove
329c5f18,0.11742548683471046,0.0,0.07346922723405432,0.11742548683471046,0.07346922723405432,0.6151322073402777,0.38486779265972215,0.4191132793560719,30910.25071722259,4.192094046650791,mixed
36c3a7a9,0.025198131205381478,0.010116068562355687,0.2059331890709017,0.025198131205381478,0.2059331890709017,0.10902084224353867,0.8909791577564613,0.26477856896219487,74333.88212161443,87.79105732343217,marsh
3dc44fa2,0.08183284507974119,0.0038730823782006456,0.10014531534135518,0.08183284507974119,0.10014531534135518,0.4496849780785808,0.5503150219214191,0.40694250791541453,34848.48136711934,32.504599340076695,mixed
4217433d,0.21805199243791745,0.0,0.13554271377945212,0.21805199243791745,0.13554271377945212,0.6166721068043132,0.3833278931956869,0.42442200359473486,45255.79785493963,0.0,mixed
4ea6871a,0.09335763878170507,0.0,0.07253624358734968,0.09335763878170507,0.07253624358734968,0.562755162809546,0.43724483719045404,0.2979767184715759,26642.61916652287,0.0,mixed
5445998d,0.0030301272645861257,0.0,0.18820259740670706,0.0030301272645861257,0.18820259740670706,0.01584523396711814,0.9841547660328819,0.2674880783448624,48031.2753385445,0.0,marsh
